#,PSRJ,PMRA,PMDEC,PX,POSEPOCH,Gl,Gb,RAJD,DECJD,P0,P1,DM,TAU_SC,S400,S1400,S2000,DIST,ZZ,XX,YY,ASSOC,SURVEY,,,,,,,,
,,[mas/yr],[mas/yr],[mas],[MJD],[deg],[deg],[deg],[deg],[s],[s/s],[cm^-3pc],[s],[mJy],[mJy],[mJy],[kpc],[kpc],[kpc],[kpc],,,,,,,,,,
90,J0242+62,NAN,NAN,NAN,54100,135.187,2.751,40.64583333,62.94722222,0.592,NAN,4,NAN,NAN,NAN,NAN,0.222,0.011,0.156,8.657,NAN,gb350,lotaas,,,,,,,
91,J0243+6027,NAN,NAN,NAN,54100,136.271,0.5,40.75,60.45,1.473,NAN,141,NAN,NAN,NAN,NAN,2.717,0.024,1.878,10.463,NAN,gb350,,,,,,,,
92,J0244+14,NAN,NAN,NAN,56160,159.914,-40.14,41.2125,14.45,2.1281,NAN,31,NAN,NAN,NAN,NAN,2.796,-1.802,0.734,10.507,NAN,ar327,,,,,,,,
93,J0248+6021,48,48,NAN,54000,136.903,0.697,42.07757083,60.35964444,0.217094,5.51E-14,370,NAN,NAN,13.7,NAN,2,0.024,1.366,9.96,GRS:2FGL_J0248.1+6021[naa+12],misc,,,,,,,,
94,J0250+5854,NAN,NAN,NAN,57973,137.767,-0.505,42.57408333,58.90036111,23.535378,2.72E-14,45.28,NAN,NAN,NAN,NAN,1.558,-0.014,1.047,9.654,NAN,lotaas,,,,,,,,
95,J0255-5304,25,7,NAN,57600,269.862,-55.31,43.98455208,-53.07257639,0.447708,3.13E-17,15.9,NAN,17,5,NAN,1.514,-1.245,-0.862,8.502,NAN,mol1,mol2,pks70,ghrss,,,,,
96,J0302+2252,NAN,NAN,NAN,57811,158.436,-30.815,45.63329167,22.87002778,1.207165,8.25E-17,18.99,NAN,70,NAN,NAN,1.014,-0.519,0.32,9.31,NAN,misc,lotaas,,,,,,,
97,J0304+1932,6,-37,NAN,49289,161.135,-33.27,46.13797917,19.54761111,1.387584,1.3E-15,15.66,0,27,15.1,NAN,0.739,-0.405,0.2,9.085,NAN,misc,mol2,gb4,lotaas,,,,,
98,J0305+11,NAN,NAN,NAN,NAN,167.463,-39.662,46.275,11.38333333,0.8621,NAN,27.97,NAN,NAN,NAN,NAN,1.838,-1.173,0.307,9.881,NAN,lotaas,,,,,,,,
99,J0308+74,NAN,NAN,NAN,55196,132.09,13.608,47,74,0.00316,NAN,6.35,NAN,0.3,NAN,NAN,0.384,0.09,0.277,8.75,GRS:2FGL_J0308.3+7442[naa+12],FermiAssoc,,,,,,,,
100,J0317+13,NAN,NAN,NAN,NAN,168.763,-36.04,49.475,13.48333333,1.9743,NAN,12.9,NAN,NAN,NAN,NAN,0.366,-0.215,0.058,8.79,NAN,misc,lotaas,,,,,,,
101,J0323+3944,26.5,-30.77,1.05,49290,152.18,-14.338,50.86109125,39.74788972,3.032072,6.36E-16,26.19,0,34,0.9,NAN,0.952,-0.236,0.431,9.316,NAN,gb1,gb2,gb4,gbncc,lotaas,,,,
102,J0324+5239,NAN,NAN,NAN,56100,145.094,-3.48,51.23108333,52.65869444,0.33662,3.81E-16,115.46,NAN,NAN,0.19,NAN,2.29,-0.139,1.308,10.375,NAN,htru_eff,,,,,,,,
103,J0325+6744,NAN,NAN,NAN,56500,136.715,9.089,51.2713307,67.74982995,1.364679,1.55E-15,65.28,NAN,NAN,NAN,NAN,1.929,0.305,1.306,9.887,NAN,gbncc,,,,,,,,
104,J0329+1654,NAN,NAN,NAN,52225,168.499,-31.683,52.285625,16.90055556,0.89332,2.15E-16,40.82,NAN,0.6,NAN,NAN,2.557,-1.343,0.434,10.632,NAN,ar4,lotaas,,,,,,,
105,J0332+5434,16.97,-10.37,0.59,46473,144.995,-1.221,53.24754,54.5787025,0.71452,2.05E-15,26.76,0,1500,203,NAN,1.695,-0.036,0.972,9.888,NAN,misc,jb1,gb1,gb2,gb3,gb4,lotaas,,
106,J0332+79,NAN,NAN,NAN,56657,130.309,18.683,53.1875,79.16666667,2.05621,NAN,16.67,NAN,NAN,NAN,NAN,1.054,0.338,0.761,9.146,NAN,gbncc,,,,,,,,
107,J0335+4555,-3.66,-0.08,0.41,49912,150.348,-8.038,53.81934,45.93151444,0.269201,7.35E-18,47.15,0,6,0.8,NAN,2.439,-0.341,1.195,10.599,NAN,gb2,lotaas,,,,,,,
108,J0335+6623,NAN,NAN,NAN,56500,138.383,8.588,53.98776332,66.38989798,1.761934,4.81E-15,66.73,NAN,10.5,NAN,NAN,1.907,0.285,1.252,9.91,NAN,gbncc,lotaas,,,,,,,
109,J0340+4130,-0.532,-3.331,0.7,56675,153.783,-11.022,55.09703317,41.51258087,0.003299,7.05E-21,49.59,NAN,2,0.31,NAN,1.603,-0.306,0.695,9.912,GRS:2FGL_J0340.4+4131[naa+12],FermiAssoc,,,,,,,,
